1;0;7;AP1;26,
9;14;13;12;23;22;25;26;28;AP3;76,
10;38;12;23;22;25;26;28;AP3;74,
11;12;23;22;25;26;28;AP3;124,
12;23;22;25;26;28;AP3;112,
13;12;23;22;25;26;28;AP3;87,
14;13;12;23;22;25;26;28;AP3;62,
15;14;13;12;23;22;25;26;28;AP3;80,
17;40;22;25;26;28;AP3;41,
18;19;40;22;25;26;28;AP3;61,
19;40;22;25;26;28;AP3;48,
20;21;23;22;25;26;28;AP3;38,
21;23;22;25;26;28;AP3;25,
22;25;26;28;AP3;20,
23;22;25;26;28;AP3;12,
25;26;28;AP3;12,
26;28;AP3;9,
27;31;AP3;12,
28;AP3;1,
30;AP3;2,
31;30;AP3;5,
32;33;31;30;AP3;15,
33;31;30;AP3;8
34;36;25;26;28;AP3;66,
35;28;AP3;5,
36;25;26;28;AP3;20,
37;11;12;23;22;25;26;28;AP3;102,
38;12;23;22;25;26;28;AP3;83,
39;33;31;30;AP3;22,
40;22;25;26;28;AP3;33
9;8;AP4;12
9;AP4;12
11;AP4;11
36;AP4;12
14;9;8;AP4;16
12;11;AP4;15
13;12;11;AP4;16
36;11;AP4;15
15;14;9;8;AP4;19
40;13;12;11;AP4;20
34;36;AP4;16
34;36;11;AP4;17
13;14;9;8;AP4;20
7;8;AP4;14
8;AP4;13
37;12;11;AP4;18
35;36;11;AP4;19
33;35;36;11;AP4;21
34;35;36;11;AP4;21
27;33;35;36;11;AP4;24
39;33;35;36;11;AP4;25
17;40;13;12;11;AP4;25
18;40;13;12;11;AP4;26
22;40;13;12;11;AP4;26
38;40;13;12;11;AP4;27
28;27;33;35;36;11;AP4;29
30;31;27;33;35;36;11;AP4;30
32;31;27;33;35;36;11;AP4;30
35;32;31;27;33;35;36;11;AP4;32
35;30;31;27;33;35;36;11;AP4;33
28;30;31;27;33;35;36;11;AP4;33
26;28;30;31;27;33;35;36;11;AP4;34
25;26;28;30;31;27;33;35;36;11;AP4;35
22;25;26;28;30;31;27;33;35;36;11;AP4;38
5;AP5;3
3;5;AP5;3
6;5;AP5;2
1;3;5;AP5;7
2;3;5;AP5;5
0;1;3;5;AP5;10
0;2;3;5;AP5;11
7;0;1;3;5;AP5;16
9;8;7;0;1;3;5;AP5;21
13;14;7;0;1;3;5;AP5;26
1;2;0;1;3;5;AP5;12
0;2;3;5;AP5;11
8;7;0;1;3;5;AP5;16
9;8;7;0;1;3;5;AP5;21
15;14;7;0;1;3;5;AP5;26
8;7;0;2;3;5;AP5;17
9;8;7;0;1;3;5;AP5;22
13;14;7;0;1;3;5;AP5;27
9;8;7;0;1;3;5;AP5;22
15;14;7;0;1;3;5;AP5;27
6;8;7;0;1;3;5;AP5;21
8;6;8;7;0;1;3;5;AP5;26
5;6;8;7;0;1;3;5;AP5;27
11;12;13;14;7;0;1;3;5;AP5;32
17;40;13;14;7;0;1;3;5;AP5;37
18;40;13;14;7;0;1;3;5;AP5;38
22;40;13;14;7;0;1;3;5;AP5;39
38;40;13;14;7;0;1;3;5;AP5;44
39;40;13;14;7;0;1;3;5;AP5;45
36;11;12;13;14;7;0;1;3;5;AP5;40
37;12;13;14;7;0;1;3;5;AP5;41
35;36;11;12;13;14;7;0;1;3;5;AP5;46
34;37;12;13;14;7;0;1;3;5;AP5;47
38;37;12;13;14;7;0;1;3;5;AP5;48
19;18;40;13;14;7;0;1;3;5;AP5;43
20;18;40;13;14;7;0;1;3;5;AP5;44
17;40;13;14;7;0;1;3;5;AP5;49
23;22;40;13;14;7;0;1;3;5;AP5;49
